Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
CRYSTAL,CRYSTAL RETAIL GROWTH LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CSC,CROWN SEAL PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,ZNOT,PKG,,
CSL,CS LOXINFO PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
CSP,CSP STEEL CENTER PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
CSP-W1,CSP STEEL CENTER PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
CSR,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,ZNOT,TOURISM,,
CSS,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
CSS-W1,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
CTARAF,CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CTW,CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,Industrial Materials,IMM,,
CWT,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
CWT-W2,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
CWT-W3,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
CWT-W4,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
CYBER,CYBERPLANET INTERACTIVE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CYBER-W1,CYBERPLANET INTERACTIVE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
D,DENTAL CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DAII,DAII GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DCC,DYNASTY CERAMIC PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,Ceramic,CONMAT,,
DCC-W1,DYNASTY CERAMIC PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,Ceramic,CONMAT,,
